id,12m_call_history,acq_method,ann_prm_amt,bi_limit_group,channel,digital_contact_ind,geo_group,has_prior_carrier,home_lot_sq_footage,household_group,household_policy_counts,newest_veh_age,pay_type_code,pol_edeliv_ind,prdct_sbtyp_grp,product_sbtyp,telematics_ind,tenure_at_snapshot,trm_len_mo,call_counts
1,3,missing,669.21,NonAuto,Others,1,suburban,0,57249,1dwelling,1,-20,type1,1,B,type1,-2,0,12,27
2,0,method4,606.45,NonAuto,Retail,1,urban,0,133481,1dwelling,1,-20,type1,1,A,type1,-2,71,12,0
3,0,method2,677.06,SPGrp1Miss,Retail,0,urban,0,18540,2autodwelling,2,8,type3,0,A,type3,1,18,6,0
4,0,method2,1317.32,NonAuto,Retail,0,urban,0,63624,1dwelling,1,-20,type1,0,B,type1,-2,59,12,29
5,0,method3,2238.37,SPGrp1Miss,Retail,0,suburban,1,4867,2autodwelling,2,55,type1,0,A,type1,0,24,6,25
6,0,missing,1330.18,SPGrp2,Retail,0,urban,0,32930,2autodwelling,2,0,type2,0,C,type2,0,79,6,0
7,3,method2,280.1,NonAuto,Retail,0,suburban,1,88612,3other,3,-20,type1,0,C,type1,-2,117,12,15
8,2,method1,1832.98,NonAuto,Others,1,rural,0,139894,1dwelling,1,-20,type3,1,B,type3,-2,2,12,0
9,12,method1,207.79,NonAuto,Retail,0,suburban,0,68226,1dwelling,1,-20,type1,0,B,type1,-2,187,12,11
10,4,method2,2450.21,CSLGrp2,Retail,0,urban,1,64712,2autodwelling,2,74,type1,0,B,type1,0,128,6,104
11,6,method2,1360.21,CSLGrp1,Retail,0,suburban,1,99849,2autodwelling,2,5,type1,0,B,type1,1,34,6,77
12,0,method2,222.99,SPGrp3,Retail,0,suburban,1,81697,2autodwelling,3,69,type2,0,C,type2,0,259,6,0
13,12,method1,1759.7,NonAuto,Retail,0,rural,0,49798,1dwelling,1,-20,type2,0,C,type2,-2,189,12,36
14,1,method1,176.65,NonAuto,Others,1,urban,0,85538,1dwelling,1,-20,type1,1,C,type1,-2,32,12,72
15,1,method1,2323.4,NonAuto,Retail,0,rural,1,77990,1dwelling,1,-20,type1,1,C,type1,-2,1,12,0
16,1,method4,1539.44,NonAuto,Retail,0,rural,0,149708,3other,3,-20,type1,1,C,type1,-2,37,12,0
17,12,method2,1608.78,NonAuto,Retail,1,rural,0,70350,1dwelling,1,-20,type1,1,B,type1,-2,279,12,0
18,0,method3,1041.73,NonAuto,Retail,1,suburban,0,136545,1dwelling,1,-20,type3,0,C,type3,-2,102,12,64
19,5,method2,1431.46,NonAuto,Retail,0,suburban,1,31929,1dwelling,1,-20,type1,0,B,type1,-2,31,12,0
20,3,method3,5613.24,SPGrp1Miss,Retail,1,suburban,1,55708,2autodwelling,2,8,type1,1,A,type1,1,17,6,203
21,2,method4,2526.88,NonAuto,Retail,0,suburban,0,31721,1dwelling,1,-20,type1,0,C,type1,-2,24,12,2
22,4,missing,828.06,SPGrp1Miss,Retail,0,rural,1,26462,2autodwelling,2,77,type1,0,B,type1,0,70,6,8
23,2,method3,853.89,NonAuto,Retail,1,urban,1,143088,1dwelling,1,-20,type1,1,C,type1,-2,6,12,7
24,19,method3,973.1,CSLGrp1,Retail,0,urban,0,96504,2autodwelling,2,90,type1,0,A,type1,0,10,6,33
25,6,method2,1173.95,NonAuto,Retail,1,rural,0,15237,1dwelling,1,-20,type1,1,A,type1,-2,89,6,46
26,2,missing,148.5,NonAuto,Retail,0,suburban,0,9442,1dwelling,1,-20,type1,0,B,type1,-2,136,12,138
27,6,method3,648.62,SPGrp1Miss,Retail,0,rural,1,74124,2autodwelling,2,74,type1,0,C,type1,1,122,6,53
28,3,method3,1999,NonAuto,Retail,0,urban,0,15260,1dwelling,1,-20,type1,1,B,type1,-2,11,12,91
29,2,method1,263.23,SPGrp3,Retail,1,suburban,0,118984,2autodwelling,2,28,type1,1,C,type1,1,1,6,84
30,0,method2,359.48,NonAuto,Others,1,urban,1,41567,1dwelling,1,-20,type1,1,B,type1,-2,5,12,24
31,3,missing,3721.83,NonAuto,Others,0,suburban,0,117032,1dwelling,1,-20,type1,1,A,type1,-2,10,12,36
32,0,method3,3192.03,NonAuto,Others,1,urban,1,145849,1dwelling,1,-20,type1,0,C,type1,-2,145,12,0
33,1,method2,198.35,NonAuto,Retail,0,suburban,1,72509,3other,4,-20,type3,0,C,type3,-2,10,12,75
34,1,method4,277.47,NonAuto,Others,1,suburban,0,91375,1dwelling,1,-20,type1,1,C,type1,-2,0,12,0
